country,ctry,year,REG5,REG6,REG7,REG8,REG9,,,,,,,,,,,,,,,
Australia,AUS,2008,0,3,1,3,1,,,,,,,,,,,,,,,
Austria,AUT,2008,2,6,1,6,1,,,,,,,,,,,,,,,
Belgium,BEL,2008,0,4,3,0,5,,,,,,,,,,,,,,,
Canada,CAN,2008,0,4,,2,1,,,,,,,,,,,,,,,
Chile,CHL,2008,6,6,1,0,2,,,,,,,,,,,,,,,
"Czech Republic",CZE,2008,0,4,1,6,2,,,,,,,,,,,,,,,
Denmark,DNK,2008,0,2,2,2,0,,,,,,,,,,,,,,,
Estonia,EST,2008,4,4,1,6,1,,,,,,,,,,,,,,,
Finland,FIN,2008,4,4,3,0,6,,,,,,,,,,,,,,,
France,FRA,2008,4,5,3,0,,,,,,,,,,,,,,,,
Germany,DEU,2008,4,3,3,3,1,,,,,,,,,,,,,,,
Greece,GRC,2008,1,5,1,4,2,,,,,,,,,,,,,,,
Hungary,HUN,2008,0,4,2,4,1,,,,,,,,,,,,,,,
Iceland,ISL,2008,0,4,,0,6,,,,,,,,,,,,,,,
Ireland,IRL,2008,0,2,4,2,3,,,,,,,,,,,,,,,
Israel,ISR,2008,0,2,1,2,6,,,,,,,,,,,,,,,
Italy,ITA,2008,0,6,3,4,2,,,,,,,,,,,,,,,
Japan,JPN,2008,2,4,1,6,6,,,,,,,,,,,,,,,
Korea,KOR,2008,2,,1,6,2,,,,,,,,,,,,,,,
Luxembourg,LUX,2008,2,3,1,6,2,,,,,,,,,,,,,,,
Mexico,MEX,2008,6,,3,2,,,,,,,,,,,,,,,,
Netherlands,NLD,2008,3,5,1,2,3,,,,,,,,,,,,,,,
"New Zealand",NZL,2008,0,6,1,2,2,,,,,,,,,,,,,,,
Norway,NOR,2008,5,4,2,4,3,,,,,,,,,,,,,,,
Poland,POL,2008,0,5,0,2,1,,,,,,,,,,,,,,,
Portugal,PRT,2008,4,4,4,4,2,,,,,,,,,,,,,,,
"Slovak Republic",SVK,2008,0,4,2,5,2,,,,,,,,,,,,,,,
Slovenia,SVN,2008,4,3,3,4,1,,,,,,,,,,,,,,,
Spain,ESP,2008,2,5,2,0,1,,,,,,,,,,,,,,,
Sweden,SWE,2008,4,4,6,2,2,,,,,,,,,,,,,,,
Switzerland,CHE,2008,0,5,1,0,2,,,,,,,,,,,,,,,
Turkey,TUR,2008,0,4,5,0,1,,,,,,,,,,,,,,,
"United Kingdom",GBR,2008,0,2,1,2,2,,,,,,,,,,,,,,,
"United States",USA,2008,0,,,1,4,,,,,,,,,,,,,,,
