country,ctry,year,REG5,REG6,REG7,REG8,REG9,,,,,,,,,,,,,,,
Australia,AUS,1985,0,,,3,,,,,,,,,,,,,,,,
Australia,AUS,1986,0,,,3,,,,,,,,,,,,,,,,
Australia,AUS,1987,0,,,3,,,,,,,,,,,,,,,,
Australia,AUS,1988,0,,,3,,,,,,,,,,,,,,,,
Australia,AUS,1989,0,,,3,,,,,,,,,,,,,,,,
Australia,AUS,1990,0,,,3,,,,,,,,,,,,,,,,
Australia,AUS,1991,0,,,3,,,,,,,,,,,,,,,,
Australia,AUS,1992,0,,,3,,,,,,,,,,,,,,,,
Australia,AUS,1993,0,,,3,,,,,,,,,,,,,,,,
Australia,AUS,1994,0,,,3,,,,,,,,,,,,,,,,
Australia,AUS,1995,0,,,3,,,,,,,,,,,,,,,,
Australia,AUS,1996,0,4,1,3,,,,,,,,,,,,,,,,
Australia,AUS,1997,0,4,1,3,,,,,,,,,,,,,,,,
Australia,AUS,1998,0,4,1,3,,,,,,,,,,,,,,,,
Australia,AUS,1999,0,4,1,3,,,,,,,,,,,,,,,,
Australia,AUS,2000,0,4,1,3,,,,,,,,,,,,,,,,
Australia,AUS,2001,0,4,1,3,,,,,,,,,,,,,,,,
Australia,AUS,2002,0,4,1,3,,,,,,,,,,,,,,,,
Australia,AUS,2003,0,4,1,3,,,,,,,,,,,,,,,,
Australia,AUS,2004,0,4,1,3,,,,,,,,,,,,,,,,
Australia,AUS,2005,0,4,1,3,,,,,,,,,,,,,,,,
Australia,AUS,2006,0,4,1,3,,,,,,,,,,,,,,,,
Australia,AUS,2007,0,3,1,3,,,,,,,,,,,,,,,,
Australia,AUS,2008,0,3,1,3,1,,,,,,,,,,,,,,,
Austria,AUT,1985,2,6,3,6,,,,,,,,,,,,,,,,
Austria,AUT,1986,2,6,3,6,,,,,,,,,,,,,,,,
Austria,AUT,1987,2,6,3,6,,,,,,,,,,,,,,,,
Austria,AUT,1988,2,6,3,6,,,,,,,,,,,,,,,,
Austria,AUT,1989,2,6,3,6,,,,,,,,,,,,,,,,
Austria,AUT,1990,2,6,3,6,,,,,,,,,,,,,,,,
Austria,AUT,1991,2,6,3,6,,,,,,,,,,,,,,,,
Austria,AUT,1992,2,6,3,6,,,,,,,,,,,,,,,,
Austria,AUT,1993,2,6,3,6,,,,,,,,,,,,,,,,
Austria,AUT,1994,2,6,3,6,,,,,,,,,,,,,,,,
Austria,AUT,1995,2,6,3,6,,,,,,,,,,,,,,,,
Austria,AUT,1996,2,6,3,6,,,,,,,,,,,,,,,,
Austria,AUT,1997,2,6,3,6,,,,,,,,,,,,,,,,
Austria,AUT,1998,2,6,3,6,,,,,,,,,,,,,,,,
Austria,AUT,1999,2,6,3,6,,,,,,,,,,,,,,,,
Austria,AUT,2000,2,6,3,6,,,,,,,,,,,,,,,,
Austria,AUT,2001,2,6,3,6,,,,,,,,,,,,,,,,
Austria,AUT,2002,2,6,3,6,,,,,,,,,,,,,,,,
Austria,AUT,2003,2,6,1,6,,,,,,,,,,,,,,,,
Austria,AUT,2004,2,6,1,6,,,,,,,,,,,,,,,,
Austria,AUT,2005,2,6,1,6,,,,,,,,,,,,,,,,
Austria,AUT,2006,2,6,1,6,,,,,,,,,,,,,,,,
Austria,AUT,2007,2,6,1,6,,,,,,,,,,,,,,,,
Austria,AUT,2008,2,6,1,6,1,,,,,,,,,,,,,,,
Belgium,BEL,1985,0,4,3,0,,,,,,,,,,,,,,,,
Belgium,BEL,1986,0,4,3,0,,,,,,,,,,,,,,,,
Belgium,BEL,1987,0,4,3,0,,,,,,,,,,,,,,,,
Belgium,BEL,1988,0,4,3,0,,,,,,,,,,,,,,,,
Belgium,BEL,1989,0,4,3,0,,,,,,,,,,,,,,,,
Belgium,BEL,1990,0,4,3,0,,,,,,,,,,,,,,,,
Belgium,BEL,1991,0,4,3,0,,,,,,,,,,,,,,,,
Belgium,BEL,1992,0,4,3,0,,,,,,,,,,,,,,,,
Belgium,BEL,1993,0,4,3,0,,,,,,,,,,,,,,,,
Belgium,BEL,1994,0,4,3,0,,,,,,,,,,,,,,,,
Belgium,BEL,1995,0,4,3,0,,,,,,,,,,,,,,,,
Belgium,BEL,1996,0,4,3,0,,,,,,,,,,,,,,,,
Belgium,BEL,1997,0,4,3,0,,,,,,,,,,,,,,,,
Belgium,BEL,1998,0,4,3,0,,,,,,,,,,,,,,,,
Belgium,BEL,1999,0,4,3,0,,,,,,,,,,,,,,,,
Belgium,BEL,2000,0,4,3,0,,,,,,,,,,,,,,,,
Belgium,BEL,2001,0,4,3,0,,,,,,,,,,,,,,,,
Belgium,BEL,2002,0,4,3,0,,,,,,,,,,,,,,,,
Belgium,BEL,2003,0,4,3,0,,,,,,,,,,,,,,,,
Belgium,BEL,2004,0,4,3,0,,,,,,,,,,,,,,,,
Belgium,BEL,2005,0,4,3,0,,,,,,,,,,,,,,,,
Belgium,BEL,2006,0,4,3,0,,,,,,,,,,,,,,,,
Belgium,BEL,2007,0,4,3,0,,,,,,,,,,,,,,,,
Belgium,BEL,2008,0,4,3,0,5,,,,,,,,,,,,,,,
Canada,CAN,1985,0,4,,2,,,,,,,,,,,,,,,,
Canada,CAN,1986,0,4,,2,,,,,,,,,,,,,,,,
Canada,CAN,1987,0,4,,2,,,,,,,,,,,,,,,,
Canada,CAN,1988,0,4,,2,,,,,,,,,,,,,,,,
Canada,CAN,1989,0,4,,2,,,,,,,,,,,,,,,,
Canada,CAN,1990,0,4,,2,,,,,,,,,,,,,,,,
Canada,CAN,1991,0,4,,2,,,,,,,,,,,,,,,,
Canada,CAN,1992,0,4,,2,,,,,,,,,,,,,,,,
Canada,CAN,1993,0,4,,2,,,,,,,,,,,,,,,,
Canada,CAN,1994,0,4,,2,,,,,,,,,,,,,,,,
Canada,CAN,1995,0,4,,2,,,,,,,,,,,,,,,,
Canada,CAN,1996,0,4,,2,,,,,,,,,,,,,,,,
Canada,CAN,1997,0,4,,2,,,,,,,,,,,,,,,,
Canada,CAN,1998,0,4,,2,,,,,,,,,,,,,,,,
Canada,CAN,1999,0,4,,2,,,,,,,,,,,,,,,,
Canada,CAN,2000,0,4,,2,,,,,,,,,,,,,,,,
Canada,CAN,2001,0,4,,2,,,,,,,,,,,,,,,,
Canada,CAN,2002,0,4,,2,,,,,,,,,,,,,,,,
Canada,CAN,2003,0,4,,2,,,,,,,,,,,,,,,,
Canada,CAN,2004,0,4,,2,,,,,,,,,,,,,,,,
Canada,CAN,2005,0,4,,2,,,,,,,,,,,,,,,,
Canada,CAN,2006,0,4,,2,,,,,,,,,,,,,,,,
Canada,CAN,2007,0,4,,2,,,,,,,,,,,,,,,,
Canada,CAN,2008,0,4,,2,1,,,,,,,,,,,,,,,
Switzerland,CHE,1985,0,5,1,0,,,,,,,,,,,,,,,,
Switzerland,CHE,1986,0,5,1,0,,,,,,,,,,,,,,,,
Switzerland,CHE,1987,0,5,1,0,,,,,,,,,,,,,,,,
Switzerland,CHE,1988,0,5,1,0,,,,,,,,,,,,,,,,
Switzerland,CHE,1989,0,5,1,0,,,,,,,,,,,,,,,,
Switzerland,CHE,1990,0,5,1,0,,,,,,,,,,,,,,,,
Switzerland,CHE,1991,0,5,1,0,,,,,,,,,,,,,,,,
Switzerland,CHE,1992,0,5,1,0,,,,,,,,,,,,,,,,
Switzerland,CHE,1993,0,5,1,0,,,,,,,,,,,,,,,,
Switzerland,CHE,1994,0,5,1,0,,,,,,,,,,,,,,,,
Switzerland,CHE,1995,0,5,1,0,,,,,,,,,,,,,,,,
Switzerland,CHE,1996,0,5,1,0,,,,,,,,,,,,,,,,
Switzerland,CHE,1997,0,5,1,0,,,,,,,,,,,,,,,,
Switzerland,CHE,1998,0,5,1,0,,,,,,,,,,,,,,,,
Switzerland,CHE,1999,0,5,1,0,,,,,,,,,,,,,,,,
Switzerland,CHE,2000,0,5,1,0,,,,,,,,,,,,,,,,
Switzerland,CHE,2001,0,5,1,0,,,,,,,,,,,,,,,,
Switzerland,CHE,2002,0,5,1,0,,,,,,,,,,,,,,,,
Switzerland,CHE,2003,0,5,1,0,,,,,,,,,,,,,,,,
Switzerland,CHE,2004,0,5,1,0,,,,,,,,,,,,,,,,
Switzerland,CHE,2005,0,5,1,0,,,,,,,,,,,,,,,,
Switzerland,CHE,2006,0,5,1,0,,,,,,,,,,,,,,,,
Switzerland,CHE,2007,0,5,1,0,,,,,,,,,,,,,,,,
Switzerland,CHE,2008,0,5,1,0,2,,,,,,,,,,,,,,,
Czech Republic,CZE,1985,,,,,,,,,,,,,,,,,,,,
Czech Republic,CZE,1986,,,,,,,,,,,,,,,,,,,,
Czech Republic,CZE,1987,,,,,,,,,,,,,,,,,,,,
Czech Republic,CZE,1988,,,,,,,,,,,,,,,,,,,,
Czech Republic,CZE,1989,,,,,,,,,,,,,,,,,,,,
Czech Republic,CZE,1990,,,,,,,,,,,,,,,,,,,,
Czech Republic,CZE,1991,,,,,,,,,,,,,,,,,,,,
Czech Republic,CZE,1992,,,,,,,,,,,,,,,,,,,,
Czech Republic,CZE,1993,4,4,1,6,,,,,,,,,,,,,,,,
Czech Republic,CZE,1994,4,4,1,6,,,,,,,,,,,,,,,,
Czech Republic,CZE,1995,4,4,1,6,,,,,,,,,,,,,,,,
Czech Republic,CZE,1996,4,4,1,6,,,,,,,,,,,,,,,,
Czech Republic,CZE,1997,4,4,1,6,,,,,,,,,,,,,,,,
Czech Republic,CZE,1998,4,4,1,6,,,,,,,,,,,,,,,,
Czech Republic,CZE,1999,4,4,1,6,,,,,,,,,,,,,,,,
Czech Republic,CZE,2000,4,4,1,6,,,,,,,,,,,,,,,,
Czech Republic,CZE,2001,4,4,1,6,,,,,,,,,,,,,,,,
Czech Republic,CZE,2002,4,4,1,6,,,,,,,,,,,,,,,,
Czech Republic,CZE,2003,4,4,1,6,,,,,,,,,,,,,,,,
